"","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD.point","LP","LoFLP","mseL"
"1",1,0,0,18,1,100,95.4117888423184,90.2972079307375,97.475258466499,98.5077822723938,44.9438472053744
"2",0,1,0,17,2,38.4980695837633,100,35.982358688478,2.21473292977803,100.23119083378,1.27970233536272
"3",0,0,1,0,19,0,0,100,0,0,79.2131680377093
"4",0.5,0.5,0,18,1,99.6087787652,95.6242687839643,89.7504595354518,94.1964641082889,98.664300447419,44.0247882856439
"5",0.5,0,0.5,17,2,99.1239828387155,94.3309107264479,93.9500499778694,100.088546912097,97.2300727366283,48.9968782649654
"6",0,0.5,0.5,16,3,97.2899104686293,94.0760883064456,94.6707791855726,97.869207543109,96.4968823977932,50.4370642435034
"7",0.333333333333333,0.333333333333333,0.333333333333333,18,1,100,95.4117888423184,93.400514775468,97.475258466499,98.5077822723936,44.9438472053744
"8",0.5,0.25,0.25,18,1,99.9767194351815,95.3467926421258,93.0266274268192,96.9995040771908,98.4578117832035,44.7062237823341
"9",0.25,0.5,0.25,17,2,97.7134914259493,95.2446841571975,92.2161976298974,97.0151128707591,97.9096023729774,49.069761435087
"10",0.25,0.25,0.5,18,1,100,95.4117888423186,93.400514775468,97.475258466499,98.5077822723938,44.9438472053744
