"","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD.point","mseD","compound","LP","LoFLP","mseL"
"1",1+0i,0+0i,0+0i,18+0i,1+0i,0.122345460847515+0i,0.0695069617631758+0i,0.0701009606825767+0i,0.0663897398306702+0i,0.122345460847515+0i,0.720927167769883+0i,0.447676997403953+0i,0.196529406381502+0i
"2",0+0i,1+0i,0+0i,17+0i,2+0i,0.317796352311428+0i,0.0663178355881923+0i,0.175917345433111+0i,0.165365800710499+0i,0.0663178355881923+0i,31.7295873778033+0i,0.439979489635726+0i,6.90222043649674+0i
"3",0+0i,0+0i,1+0i,0+0i,19+0i,0+0i,0+0i,0.0632992102289908+0i,0.0608748483432941+0i,0.0607622851828258+0i,0+0i,0+0i,0.111506556682196+0i
"4",0.5+0i,0.5+0i,0+0i,18+0i,1+0i,0.122825982171622+0i,0.0693525152469594+0i,0.0705280068276278+0i,0.0664304076124045+0i,0.0922945870638155+0i,0.746021229980614+0i,0.446966815643005+0i,0.200632142838798+0i
"5",0.5+0i,0+0i,0.5+0i,17+0i,2+0i,0.123426699920425+0i,0.0703033979821405+0i,0.0673753874999549+0i,0.0651087886485299+0i,0.0897887121385682+0i,0.70210392879025+0i,0.453559962955931+0i,0.180272456624832+0i
"6",0+0i,0.5+0i,0.5+0i,16+0i,3+0i,0.125753493099333+0i,0.0704938276899514+0i,0.0668624582722747+0i,0.0653206488047001+0i,0.0678495611253145+0i,0.718025247961031+0i,0.457006144580233+0i,0.175124935288256+0i
"7",0.333333333333333+0i,0.333333333333333+0i,0.333333333333333+0i,18+0i,1+0i,0.122345460847515+0i,0.0695069617631758+0i,0.0677718001674404+0i,0.0661751924432138+0i,0.0825463676011411+0i,0.720927167769883+0i,0.447676997403954+0i,0.196529406381502+0i
"8",0.5+0i,0.25+0i,0.25+0i,18+0i,1+0i,0.122373950194311+0i,0.0695543434136367+0i,0.0680441847456913+0i,0.0662180055171843+0i,0.0911148239325228+0i,0.724463106099682+0i,0.447904207801527+0i,0.197574003449235+0i
"9",0.25+0i,0.5+0i,0.25+0i,17+0i,2+0i,0.125208360751527+0i,0.0696289101854098+0i,0.0686421820199498+0i,0.0663267539059647+0i,0.079628735032486+0i,0.724346546991144+0i,0.450412085431969+0i,0.180004698483358+0i
"10",0.25+0i,0.25+0i,0.5+0i,18+0i,1+0i,0.122345460847515+0i,0.0695069617631757+0i,0.0677718001674404+0i,0.0663398500481435+0i,0.0781294603117154+0i,0.720927167769883+0i,0.447676997403953+0i,0.196529406381502+0i
