"","kappa.LP","kappa.LoFLP","kappa.mseL","df","lof","LP","LoFLP","mseL","DP","LoFDP","mseD_point"
"1",1,0,0,16,3,100,96.4855966220379,55.2999706348549,96.0428807909273,94.0747477015062,91.8295445174934
"2",0,1,0,18,1,0.114199087543587,100,0.103701712464102,26.047059346452,98.430947148753,25.058928255491
"3",0,0,1,1,18,0.0184652024676411,0.0111647897912592,100,0.761729026310032,0.951308107402194,82.8729335138993
"4",0.5,0.5,0,17,2,99.0723593629287,98.0985067860695,52.8389713243924,96.550295809817,95.5356627623773,89.2511979269361
"5",0.5,0,0.5,12,7,87.6317785988574,89.1469640875405,76.249174398402,81.2805283860909,89.1532991012722,88.2729206814804
"6",0,0.5,0.5,13,6,81.5355312255108,91.6544321834485,80.1011693433192,77.114849549058,90.8647944326449,81.4445692527
"7",0.333333333333333,0.333333333333333,0.333333333333333,15,4,92.017714826319,95.8671059208419,73.0652575637289,85.740408512006,94.1835871565044,86.0209091001276
"8",0.5,0.25,0.25,14,5,90.8056001344074,94.2320184236733,71.0104074447462,85.2798706684287,93.0983233416385,86.3030281037403
"9",0.25,0.5,0.25,15,4,91.3639113771674,95.7336929335615,66.7542896989971,87.5096454236966,94.0021270791862,86.7262111062455
"10",0.25,0.25,0.5,12,7,81.8669630500028,89.0339007408034,82.1240061099618,76.9417422172415,89.0046176236326,85.2856091596246
