"","kappa.LP","kappa.LoFLP","kappa.mseL","df","lof","LP","LoFLP","mseL","DP","LoFDP","mseD","mseD_point","compound"
"1",1,0,0,16,3,0.702725620138904,12.8318171680382,2.13253786089324,0.127386288124619,1.68389497314605,0.0778944152446554,0.0816474407903832,0.702725620138904
"2",0,1,0,13,6,1119706.99540104,12.4766513635659,651544.763265799,0.429450878738937,1.16013209917347,0.236857922277279,0.25170945691183,12.4766513635659
"3",0,0,1,4,15,5.91379679867895,35.8428092768319,0.276922940150295,0.655455504297017,2.44306064903848,0.136914015389815,0.146930717502371,0.276922940150295
"4",0.5,0.5,0,15,4,0.70451426636809,12.7091748016009,1.99388605300232,0.129212239981155,1.55802339512017,0.0770827839191279,0.0810039434723168,2.99228925097385
"5",0.5,0,0.5,8,11,1.5999354962325,14.1668345862878,0.5627946814119,0.242467584522355,1.15543243455518,0.0991996507345908,0.109135454967598,0.948912634483156
"6",0,0.5,0.5,9,10,2.36662582341878,13.5798796507609,0.328605391798768,0.329029165023588,1.30547635943553,0.137128710312734,0.147076804361936,2.11244447813863
"7",0.333333333333333,0.333333333333333,0.333333333333333,11,8,1.08208215723347,12.7016427061536,0.885804319076674,0.185493975248163,1.20381789955418,0.0922856140803196,0.0986397224065531,2.3004844770778
"8",0.5,0.25,0.25,13,6,0.83800347011682,12.615437314177,1.17110718395523,0.155175736049936,1.40043162325171,0.0846726917576694,0.0901100909314524,1.79472390411926
"9",0.25,0.5,0.25,11,8,0.956178993606624,12.7184102626984,0.976099108368459,0.171824190869013,1.21790874408796,0.0864340021704554,0.0917357212269901,3.50529597088045
"10",0.25,0.25,0.5,9,10,1.97545015947494,13.465050522807,0.36847477324263,0.286861500147425,1.22716958706141,0.122325625732203,0.128577472999081,1.37854959877417
