"","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD.point","mseD","compound","LP","LoFLP","mseL"
"1",1,0,0,18,1,0.122345460847515,1.93929955328869,0.0830531505351795,0.0785630722352213,0.122345460847515,0.720927167769883,13.1377306127284,2.58736191675994
"2",0,1,0,9,10,0.24751903187759,0.931879156821886,0.119424342853067,0.114417045649106,0.931879156821886,20.6465862576765,13.1699595630519,11.537306131055
"3",0,0,1,0,19,0,0,0.074802644612233,0.0729547799447197,0.0726541174379953,0,0,1.21132823009989
"4",0.5,0.5,0,11,8,0.155854546089833,1.05744144298308,0.0849785296393272,0.0800747916512845,0.405964353253713,0.940461684838878,12.6149587206344,1.56778134860562
"5",0.5,0,0.5,18,1,0.12261759512319,1.93991425391737,0.0804677311899626,0.0786190633376509,0.0979652357619901,0.727148942566016,13.1380883341887,2.58894085809676
"6",0,0.5,0.5,8,11,0.189733093416581,0.970965464855064,0.0852695238195469,0.0818755011934556,0.282200135498015,1.31098847963775,13.9024782283497,1.14756816470263
"7",0.333333333333333,0.333333333333333,0.333333333333333,11,8,0.14747580685671,1.14829511065955,0.0795576458260854,0.0763451772452803,0.234528318561933,0.790738624452708,12.6696797310417,1.48335780959969
"8",0.5,0.25,0.25,13,6,0.132905488144972,1.3899400470289,0.0786778228503046,0.0754761646177779,0.207298477737695,0.742500874137695,12.6088564820005,1.98730080980636
"9",0.25,0.5,0.25,9,10,0.175544482322772,0.968647747768585,0.0865773690646984,0.0814964626632178,0.340343033092413,1.12932930083952,13.2253928951468,1.1701152829246
"10",0.25,0.25,0.5,11,8,0.146839119991159,1.15486688180879,0.0794478702033135,0.0764132498036069,0.177458276967967,0.82205502662021,12.6804749863071,1.60895642949672
