"","kappa.1","kappa.2","kappa.3","criterion","CPs","tau2","df","DP","LoFDP","mseD","compound"
"1",1,0,0,"GD","4CP","1/q",3,0.258445488099142+0i,0.293564864672232+0i,1.04039050441311+0i,0.258445488099142+0i
"2",0,1,0,"GD","4CP","1/q",3,0.540340853137468+0i,0.281063677692218+0i,2.10599516677427+0i,0.281063677692218+0i
"3",0,0,1,"GD","4CP","1/q",5,0+0i,0+0i,0.699862855710877+0i,0.671813538806125+0i
"4",0.5,0.5,0,"GD","4CP","1/q",3,0.259279086244983+0i,0.293198118764023+0i,1.04157037995959+0i,0.275717500935077+0i
"5",0.5,0,0.5,"GD","4CP","1/q",3,0.241512643424427+0i,0.302472393538516+0i,0.934479017691257+0i,0.467758037424315+0i
"6",0,0.5,0.5,"GD","4CP","1/q",3,0.210200735466772+0i,0.292243607222106+0i,0.821077805321842+0i,0.484111046911696+0i
"7",0.333333333333333,0.333333333333333,0.333333333333333,"GD","4CP","1/q",3,0.242290764998331+0i,0.300642300464101+0i,0.958466717340013+0i,0.408442474859204+0i
"8",0.5,0.25,0.25,"GD","4CP","1/q",3,0.242347184791772+0i,0.300847242933646+0i,0.955503981482158+0i,0.35795576141327+0i
"9",0.25,0.5,0.25,"GD","4CP","1/q",3,0.247937909690609+0i,0.301950522271108+0i,0.971324665507273+0i,0.381516781701826+0i
"10",0.25,0.25,0.5,"GD","4CP","1/q",3,0.22865680152629+0i,0.297320607103451+0i,0.900282177447135+0i,0.478826173901437+0i
