"","kappa.1","kappa.2","kappa.3","criterion","CPs","tau2","df","DP","LoFDP","mseD","compound"
"1",1,0,0,"GD","5CP","1",4,0.375116155697991,1.0190966350273,1.00670917329969,0.375116155697991
"2",0,1,0,"GD","5CP","1",4,0.614840764781534,0.535059634089388,1.17241547240252,0.535059634089388
"3",0,0,1,"GD","5CP","1",5,0,0,0.737459033796011,0.716277285714624
"4",0.5,0.5,0,"GD","5CP","1",4,0.477174066587867,0.642245447511007,1.03742237314157,0.553590888595875
"5",0.5,0,0.5,"GD","5CP","1",5,0.437496241450547,1.43388847312313,0.917690546202446,0.624913640876844
"6",0,0.5,0.5,"GD","5CP","1",5,0.567009090005887,0.649748146926394,0.831383599146983,0.720828017493358
"7",0.333333333333333,0.333333333333333,0.333333333333333,"GD","5CP","1",5,0.529777226287532,0.841058805205009,0.907778406840896,0.728914150969619
"8",0.5,0.25,0.25,"GD","5CP","1",5,0.477436281709892,1.01804954528568,0.885579602061731,0.665762599805327
"9",0.25,0.5,0.25,"GD","5CP","1",5,0.630608307336801,0.709477650684094,0.991649543095701,0.73770864367052
"10",0.25,0.25,0.5,"GD","5CP","1",5,0.507439649139492,0.830103384316777,0.866630172479787,0.73579656146308
