"","kappa.1","kappa.2","kappa.3","criterion","CPs","tau2","df","LP","LoFLP","mseL","compound"
"1",1,0,0,"GL","5CP","1",4,0.294628142772599,0.416103416257974,1.55441261682245,0.294628142772599
"2",0,1,0,"GL","5CP","1",5,20060.3953574805,0.533173054780075,176065.811639235,0.533173054780075
"3",0,0,1,"GL","5CP","1",5,2.63522378329584,1.53638724744885,0.465058775171686,0.465058775171686
"4",0.5,0.5,0,"GL","5CP","1",4,0.298687700236638,0.404753019264575,1.66448142127755,0.347699221293306
"5",0.5,0,0.5,"GL","5CP","1",5,0.855728454113796,0.610463969795487,0.716544925540888,0.783050369667362
"6",0,0.5,0.5,"GL","5CP","1",5,1.02765784913506,0.581762358760171,0.503254381152029,0.541086366336645
"7",0.333333333333333,0.333333333333333,0.333333333333333,"GL","5CP","1",4,0.406210814998434,0.380424178136532,1.09196537246158,0.552598226186122
"8",0.5,0.25,0.25,"GL","5CP","1",4,0.319616768710617,0.381901580895346,1.37502465327477,0.481260550511842
"9",0.25,0.5,0.25,"GL","5CP","1",4,0.358947096281826,0.380926379628534,1.20327526460923,0.500344791204856
"10",0.25,0.25,0.5,"GL","5CP","1",5,0.993654494572292,0.579418994173337,0.545194157918977,0.643180144666329
